Unnamed: 0,French,English
0,partie,part
1,histoire,history
3,police,police
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,attention,Warning
29,voici,here is
30,pourrais,could
31,affaire,case
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,trouve,find
43,perdu,lost
44,main,hand
45,côté,side
46,pouvoir,power
47,vieux,old
48,sois,be
49,tiens,here
50,matin,morning
51,tellement,so much
52,venu,came
53,suite,after
54,pardon,sorry
55,venez,come
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,cause,cause
68,enfin,finally
69,espère,hope
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,donne,given
78,loin,far
79,fin,end
80,croire,believe
81,chérie,sweetheart
82,gros,large
83,plutôt,rather
84,aura,will have
85,filles,girls
86,jouer,to play
87,bureau,office
