,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,aide,help
4,demande,request
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,compris,understood
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,endroit,place
36,yeux,eyes
37,façon,way
38,écoute,listen
39,trouve,find
40,premier,first
41,première,first
42,côté,side
43,pouvoir,power
44,vieux,old
45,sois,be
46,tiens,here
47,matin,morning
48,enfant,child
49,point,point
50,venu,came
51,suite,after
52,pardon,sorry
53,venez,come
54,devant,in front of
55,vers,towards
56,minutes,minutes
57,chambre,bedroom
58,mis,placed
59,belle,beautiful
60,droit,law
61,aimerais,would like to
62,aujourd'hui,today
63,mari,husband
64,cause,cause
65,espère,hope
66,eau,water
67,attendez,Wait
68,parti,left
69,boulot,job
70,arrêter,Stop
71,dirait,would say
72,terre,Earth
73,compte,account
74,donne,given
75,loin,far
76,fin,end
77,croire,believe
78,chérie,sweetheart
79,gros,large
80,aura,will have
81,filles,girls
82,jouer,to play
